gbifID,countryCode,stateProvince,decimalLatitude,decimalLongitude,eventDate,year,month,day,datasetName,basisOfRecord,date,date_str,temp_mean,precip,humidity,wind_max
4954789069,FR,Île-de-France,48.871337,2.334191,2024-09-08T10:16:09,2024,9,8.0,iNaturalist research-grade observations,HUMAN_OBSERVATION,2024-09-08,2024-09-08,16.3,4.7,80.0,24.2
4957243980,NL,Utrecht,52.1,5.1,2024-09-06,2024,9,6.0,,HUMAN_OBSERVATION,2024-09-06,2024-09-06,21.9,6.6,67.0,18.7
5153901621,PL,Opole,50.305189,17.511426,2024-09-06T12:25:29,2024,9,6.0,iNaturalist research-grade observations,HUMAN_OBSERVATION,2024-09-06,2024-09-06,,,,
5921889749,BE,Vlaams Brabant,50.822805,4.908229,2024-09-04,2024,9,4.0,Funbel,HUMAN_OBSERVATION,2024-09-04,2024-09-04,18.2,1.9,83.0,10.8
4998532530,DE,,49.950787,8.180385,2024-10-07,2024,10,7.0,,HUMAN_OBSERVATION,2024-10-07,2024-10-07,13.4,12.9,90.0,14.1
5223287723,BE,,50.920277,4.758611,2023-06-27,2023,6,27.0,,PRESERVED_SPECIMEN,2023-06-27,2023-06-27,18.2,0.2,64.0,14.8
5922334164,BE,Vlaams Brabant,50.931339,4.738777,2023-06-27,2023,6,27.0,Funbel,HUMAN_OBSERVATION,2023-06-27,2023-06-27,18.3,0.0,64.0,15.1
4954327110,HU,Fejér,47.157942,18.630685,2023-07-20T18:34:40,2023,7,20.0,iNaturalist research-grade observations,HUMAN_OBSERVATION,2023-07-20,2023-07-20,,,,
4954379167,HU,Veszprém,47.005904,17.972882,2023-07-19T11:27:27,2023,7,19.0,iNaturalist research-grade observations,HUMAN_OBSERVATION,2023-07-19,2023-07-19,26.5,0.0,59.0,19.3
4954679756,AT,Steiermark,46.872483,15.855982,2023-07-27T10:13,2023,7,27.0,iNaturalist research-grade observations,HUMAN_OBSERVATION,2023-07-27,2023-07-27,17.2,0.0,61.0,15.9
5018909385,DE,,50.792519,12.931861,2023-07-13T00:00,2023,7,13.0,,HUMAN_OBSERVATION,2023-07-13,2023-07-13,20.6,1.7,55.0,21.7
4424469249,NL,Gelderland,51.965004,5.668765,2023-09-29T17:22,2023,9,29.0,iNaturalist research-grade observations,HUMAN_OBSERVATION,2023-09-29,2023-09-29,17.1,1.2,80.0,25.1
4933428196,NL,Gelderland,51.95,5.9,2023-09-12,2023,9,12.0,,HUMAN_OBSERVATION,2023-09-12,2023-09-12,20.1,7.9,87.0,10.5
4933519770,NL,Gelderland,51.95,5.95,2023-09-16,2023,9,16.0,,HUMAN_OBSERVATION,2023-09-16,2023-09-16,18.4,0.0,77.0,15.1
4954348698,NL,Gelderland,51.980069,5.666057,2023-09-13T17:14,2023,9,13.0,iNaturalist research-grade observations,HUMAN_OBSERVATION,2023-09-13,2023-09-13,17.4,3.6,84.0,20.8
5024287618,DE,,52.293331,7.421625,2023-09-17T00:00,2023,9,17.0,,HUMAN_OBSERVATION,2023-09-17,2023-09-17,19.5,5.4,79.0,14.5
3881515235,RU,Tatarstan,56.033494,48.727058,2022-07-30T17:26:29,2022,7,30.0,iNaturalist research-grade observations,HUMAN_OBSERVATION,2022-07-30,2022-07-30,19.9,6.1,72.0,11.1
3904755159,DE,Nordrhein-Westfalen,51.4,7.06,2022-08-18,2022,8,18.0,,HUMAN_OBSERVATION,2022-08-18,2022-08-18,20.2,0.8,78.0,11.3
3994172614,RU,Bryansk,52.316833,34.092005,2022-08-04T11:13,2022,8,4.0,iNaturalist research-grade observations,HUMAN_OBSERVATION,2022-08-04,2022-08-04,20.7,3.6,83.0,20.3
3903410264,PT,Aveiro,40.368913,-8.410075,2022-09-10T15:53:03,2022,9,10.0,iNaturalist research-grade observations,HUMAN_OBSERVATION,2022-09-10,2022-09-10,,,,
3915572742,CZ,Jihomoravský,49.06897,17.07186,2022-09-24T09:22,2022,9,24.0,iNaturalist research-grade observations,HUMAN_OBSERVATION,2022-09-24,2022-09-24,,,,
4408078806,NL,Gelderland,51.95,5.85,2022-09-30,2022,9,30.0,,HUMAN_OBSERVATION,2022-09-30,2022-09-30,11.0,0.0,80.0,25.5
4408235807,NL,Gelderland,52.0,6.05,2022-09-28,2022,9,28.0,,HUMAN_OBSERVATION,2022-09-28,2022-09-28,9.3,2.0,87.0,14.9
6171647718,DE,,52.368443,12.93348,2022-09-23T00:00,2022,9,23.0,,HUMAN_OBSERVATION,2022-09-23,2022-09-23,11.1,0.0,74.0,8.9
4408180776,NL,Gelderland,51.95,5.9,2022-10-19,2022,10,19.0,,HUMAN_OBSERVATION,2022-10-19,2022-10-19,10.2,0.0,85.0,18.7
4408239489,NL,Gelderland,51.95,5.85,2022-10-20,2022,10,20.0,,HUMAN_OBSERVATION,2022-10-20,2022-10-20,12.1,5.3,89.0,20.2
4408255731,NL,Gelderland,52.05,6.1,2022-10-04,2022,10,4.0,,HUMAN_OBSERVATION,2022-10-04,2022-10-04,,,,
4499636869,DE,,49.0,8.4,2022-10-25,2022,10,25.0,,PRESERVED_SPECIMEN,2022-10-25,2022-10-25,14.7,0.5,79.0,16.9
5071005411,UA,Sums'ka Oblast',50.8957,34.7747,2021-06-18,2021,6,18.0,,HUMAN_OBSERVATION,2021-06-18,2021-06-18,21.6,0.0,58.0,21.9
3327874604,IT,Piemonte,44.706446,8.296255,2021-07-15T18:20:11,2021,7,15.0,iNaturalist research-grade observations,HUMAN_OBSERVATION,2021-07-15,2021-07-15,20.0,0.9,74.0,15.3
3344028093,UA,Kiev,50.177355,30.320577,2021-08-22T19:54:27,2021,8,22.0,iNaturalist research-grade observations,HUMAN_OBSERVATION,2021-08-22,2021-08-22,18.6,0.0,69.0,11.2
5020419701,DE,,48.85503,9.38889,2021-08-16T00:00,2021,8,16.0,,HUMAN_OBSERVATION,2021-08-16,2021-08-16,19.2,2.4,76.0,23.1
5921770218,BE,Vlaams Brabant,50.895382,4.738493,2021-08-30,2021,8,30.0,Funbel,HUMAN_OBSERVATION,2021-08-30,2021-08-30,16.8,2.0,86.0,16.6
5921819250,BE,Vlaams Brabant,50.931145,4.795676,2021-08-13,2021,8,13.0,Funbel,HUMAN_OBSERVATION,2021-08-13,2021-08-13,19.0,0.0,75.0,15.6
5921891766,BE,Vlaams Brabant,50.895382,4.738493,2021-08-09,2021,8,9.0,Funbel,HUMAN_OBSERVATION,2021-08-09,2021-08-09,16.3,7.6,81.0,25.0
5921950043,BE,Vlaams Brabant,50.895382,4.738493,2021-08-24,2021,8,24.0,Funbel,HUMAN_OBSERVATION,2021-08-24,2021-08-24,,,,
5921950463,BE,Vlaams Brabant,50.967794,4.511288,2021-08-29,2021,8,29.0,Funbel,HUMAN_OBSERVATION,2021-08-29,2021-08-29,15.2,4.2,88.0,21.5
5921974461,BE,Vlaams Brabant,51.001674,5.081256,2021-08-27,2021,8,27.0,Funbel,HUMAN_OBSERVATION,2021-08-27,2021-08-27,15.0,1.7,82.0,19.7
5922371943,BE,Vlaams Brabant,50.895382,4.738493,2021-08-31,2021,8,31.0,Funbel,HUMAN_OBSERVATION,2021-08-31,2021-08-31,16.6,0.2,83.0,14.0
3384391760,CZ,Jihomoravský,49.150304,16.878043,2021-09-13T18:05:37,2021,9,13.0,iNaturalist research-grade observations,HUMAN_OBSERVATION,2021-09-13,2021-09-13,19.5,0.1,71.0,13.4
3868375380,NL,Gelderland,51.9864,5.7474,2021-09-26,2021,9,26.0,,PRESERVED_SPECIMEN,2021-09-26,2021-09-26,17.4,0.6,86.0,15.3
4120045955,CH,Lu,47.06009,8.32714,2021-09-19,2021,9,19.0,,HUMAN_OBSERVATION,2021-09-19,2021-09-19,,,,
4120050179,CH,Lu,47.06009,8.32714,2021-09-19,2021,9,19.0,,HUMAN_OBSERVATION,2021-09-19,2021-09-19,12.5,23.2,86.0,9.9
5079994217,AT,,46.53583,14.43944,2021-09-19,2021,9,19.0,,PRESERVED_SPECIMEN,2021-09-19,2021-09-19,14.3,5.2,83.0,7.2
5922182742,BE,Vlaams Brabant,50.931339,4.738777,2021-09-28,2021,9,28.0,Funbel,HUMAN_OBSERVATION,2021-09-28,2021-09-28,13.9,0.0,75.0,17.8
3391480651,CZ,Jihomoravský,49.15046,16.877965,2021-10-08T15:13,2021,10,8.0,iNaturalist research-grade observations,HUMAN_OBSERVATION,2021-10-08,2021-10-08,,,,
3905881924,NL,Gelderland,51.95,5.65,2021-10-03,2021,10,3.0,,HUMAN_OBSERVATION,2021-10-03,2021-10-03,13.8,26.1,89.0,34.2
5922196214,BE,Vlaams Brabant,50.931145,4.795676,2021-10-01,2021,10,1.0,Funbel,HUMAN_OBSERVATION,2021-10-01,2021-10-01,13.4,7.0,72.0,23.8
2826385754,BY,Minsk,54.202713,27.857512,2020-07-24T11:47:20,2020,7,24.0,iNaturalist research-grade observations,HUMAN_OBSERVATION,2020-07-24,2020-07-24,14.8,0.0,66.0,17.9
4459991953,ES,Valencia,39.543695,-0.346191,2020-07-12,2020,7,12.0,,HUMAN_OBSERVATION,2020-07-12,2020-07-12,,,,
4462027577,ES,Valencia,39.543695,-0.346191,2020-07-12,2020,7,12.0,,HUMAN_OBSERVATION,2020-07-12,2020-07-12,25.2,0.0,71.0,15.8
4462150891,ES,Barcelona,42.039015,2.07824,2020-07-15,2020,7,15.0,,HUMAN_OBSERVATION,2020-07-15,2020-07-15,18.8,0.1,75.0,13.0
4462213616,ES,Valencia,39.543695,-0.346191,2020-07-12,2020,7,12.0,,HUMAN_OBSERVATION,2020-07-12,2020-07-12,25.2,0.0,71.0,15.8
2850720350,LV,Zemgale,56.411999,24.022018,2020-08-06T12:59,2020,8,6.0,iNaturalist research-grade observations,HUMAN_OBSERVATION,2020-08-06,2020-08-06,18.2,0.0,70.0,11.8
2851274173,RU,Bashkortostan,54.599734,56.111284,2020-08-17T10:09,2020,8,17.0,iNaturalist research-grade observations,HUMAN_OBSERVATION,2020-08-17,2020-08-17,12.9,4.4,82.0,16.9
2851293156,DE,Bayern,48.809066,12.887893,2020-08-16T16:08,2020,8,16.0,iNaturalist research-grade observations,HUMAN_OBSERVATION,2020-08-16,2020-08-16,21.3,0.1,76.0,13.2
4908582016,DE,Nordrhein-Westfalen,51.479182,6.768417,2020-08-30T11:34,2020,8,30.0,iNaturalist research-grade observations,HUMAN_OBSERVATION,2020-08-30,2020-08-30,15.7,1.8,81.0,11.0
3387104728,DE,,49.0,8.4,2020-09-27,2020,9,27.0,,PRESERVED_SPECIMEN,2020-09-27,2020-09-27,10.1,14.5,77.0,24.3
2901578849,FR,Nord-Pas-de-Calais,50.009284,4.024658,2020-10-18,2020,10,18.0,iNaturalist research-grade observations,HUMAN_OBSERVATION,2020-10-18,2020-10-18,8.1,0.1,87.0,9.6
2981230318,DK,,55.672063,12.309369,2020-11-03,2020,11,3.0,,HUMAN_OBSERVATION,2020-11-03,2020-11-03,10.1,0.0,79.0,33.0
6065032699,GB,Wales,51.729737,-3.811354,2019-07-10,2019,7,10.0,SEWBReC Fungi (South East Wales),HUMAN_OBSERVATION,2019-07-10,2019-07-10,,,,
5023537265,DE,,54.329044,13.129549,2019-08-18T00:00,2019,8,18.0,,HUMAN_OBSERVATION,2019-08-18,2019-08-18,18.2,4.0,90.0,14.4
5079949153,SI,,46.328648,15.722614,2019-08-25,2019,8,25.0,,HUMAN_OBSERVATION,2019-08-25,2019-08-25,20.3,4.4,87.0,12.2
3120365034,CH,Zh,47.50602,8.73283,2019-09-01,2019,9,1.0,,HUMAN_OBSERVATION,2019-09-01,2019-09-01,19.6,2.1,75.0,12.1
5079973430,AT,,47.08194,15.45722,2019-09-19,2019,9,19.0,,PRESERVED_SPECIMEN,2019-09-19,2019-09-19,,,,
5079908594,AT,,47.182373,15.980202,2019-10-13,2019,10,13.0,,HUMAN_OBSERVATION,2019-10-13,2019-10-13,11.8,0.0,84.0,6.2
5079856338,AT,,48.209217,16.510612,2018-06-08,2018,6,8.0,,HUMAN_OBSERVATION,2018-06-08,2018-06-08,22.7,3.4,75.0,19.0
5079841258,AT,,48.20284,16.322851,2018-07-12,2018,7,12.0,,HUMAN_OBSERVATION,2018-07-12,2018-07-12,,,,
5079824867,AT,,48.03592,16.35682,2018-08-05,2018,8,5.0,,HUMAN_OBSERVATION,2018-08-05,2018-08-05,25.7,1.2,63.0,13.0
5020821887,DE,,50.126633,8.657827,2018-10-06T00:00,2018,10,6.0,,HUMAN_OBSERVATION,2018-10-06,2018-10-06,15.4,0.0,71.0,13.6
2603408120,RU,Krasnodar,44.831472,38.380976,2017-06-21T14:47,2017,6,21.0,iNaturalist research-grade observations,HUMAN_OBSERVATION,2017-06-21,2017-06-21,20.7,0.0,64.0,19.9
